tags,score
"<java><performance><lambda>","17"
"<amazon-cloudformation><aws-cli>","11"
"<c#><asp.net-mvc><asp.net-mvc-4><asynchronous>","12"
"<javascript><angular><typescript><filter><pipe>","13"
"<devise><ruby-on-rails-5><actioncable>","11"
"<java><generics><java-8>","17"
"<c++><c++11><g++><libstdc++><compiler-bug>","11"
"<angular>","11"
"<c++><lambda><boolean><language-lawyer>","46"
"<c#><.net><.net-core>","18"
"<c#><asp.net><architecture><repository-pattern>","12"
"<javascript><typescript><ecmascript-6>","16"
"<r><markdown><knitr>","11"
"<javascript><node.js><bookshelf.js>","11"
"<python><django><django-admin><nested-forms>","22"
"<reactjs><firebase><react-native>","13"
"<python><multiprocessing><progress-bar><tqdm>","14"
"<java><java-8>","14"
"<vba><excel-vba><word-vba>","12"
"<python><vb.net><vba><winapi><pywin32>","11"
"<email><smtp><mailgun>","15"
"<python><anaconda><conda><python-3.6>","14"
"<asp.net-core><.net-core>","16"
"<javascript><html><http><security><xss>","17"
"<loops><angular><angular2-forms>","14"
"<ios><video><opengl-es><avfoundation><motion>","11"
"<gradient><torch><pytorch>","21"
"<android><android-studio>","20"
"<python><machine-learning><deep-learning><lstm><pytorch>","17"
"<c++><lambda><const><language-lawyer>","62"
"<lambda><kotlin>","12"
"<php><arrays><post><shopify>","13"
"<r><pdf><latex><r-markdown><bookdown>","11"
"<c#><asp.net-mvc-4><video-streaming><wmv>","12"
"<angular><build><ionic2><declaration><ionic3>","27"
